3Q2023-EXCEL,,,,,
DMF#,STATUS,TYPE,SUBMIT DATE,HOLDER,SUBJECT
0,I,II,2/8/1981,HEXCEL CHEMICAL PRODUCTS,CPC
1,I,III,11/4/1947,ROHM AND HAAS CO,LETHANE 384 SPECIAL
2,I,II,5/8/1943,MONSANTO CO,SUCCINYL SULFATHIAZOLE
5,I,II,1/1/1940,NATIONAL RESEARCH COUNCIL,PENICILLIN
7,I,II,6/19/1943,WF STRAUB AND CO,HEXESTROL                                                             
8,A,IV,1/1/1950,EASTMAN CHEMICAL CO,"C-A-P(TM) CELLULOSE ESTER, NF (CELLACEFATE)"
9,I,II,2/20/1944,NATIONAL RESEARCH COUNCIL,GELATIN & OTHER BLOOD SUBSTITUTES                                     
11,I,II,3/12/1944,ROHM AND HAAS CO,HYAMINE X (QUATERNARY AMMONIUM CHLORIDE COMPOUND)                     
12,I,II,2/21/1947,NATIONAL RESEARCH COUNCIL,BAL IN OIL
13,I,II,1/1/1945,YEAST PRODS INC,"RIBOFLAVIN, ACETYLATED"
16,I,II,9/1/1947,VETERANS ADMINISTRATION,STREPTOMYCIN                                                          
17,I,II,1/1/1940,PENICK CORP,TYROTHRICIN
19,I,II,1/1/1940,ABBOTT LABORATORIES PHARMACEUTICAL PRODUCTS DIV,THIOURACIL                                                            
21,I,II,11/3/1947,MERCK AND CO INC,NITROGEN MUSTARDS                                                     
22,I,II,7/30/1946,DEPT DEFENSE,PROTEIN HYDROLYSATES
23,I,II,6/2/1946,LEDERLE LABORATORIES DIV AMERICAN CYANAMID CO,STERILE FILLED PHARMACEUTICAL PREPARATIONS                            
24,I,II,3/22/1946,JOHNS HOPKINS HOSP,P-ARSENOSOPHENYLBUTYRIC ACID                                          
25,I,II,9/12/1946,ABBOTT LABORATORIES PHARMACEUTICAL PRODUCTS DIV,"VITAMIN K, HYKIMONE                                        "
26,I,II,1/1/1946,CINBERG B L MD,PROGESTERONE
28,I,II,9/3/1946,BOOTS FLINT INC SUB BOOTS CO USA INC,AMINO ACIDS                                                       
29,I,II,12/26/1946,NATIONAL RESEARCH COUNCIL,"SN 13,276; PALUDRINE (CHLORUGUAN) AND SN 12-837                          "
30,I,II,5/22/1947,NEW YORK QUININE AND CHEMICAL WORKS INC,METOPON                                                               
31,I,II,10/13/1946,STEPAN CO INC,B.T.C.    (ACTIVE INGRED: BENZALKONIUM CHL)
32,I,II,12/12/1946,SB PENICK AND CO,RUTIN                                                                 
33,I,II,1/1/1947,UNIVERSITY OF CHICAGO DEPARTMENT OF MEDICINE,CARBOWAX--POLYETHYLENE GLYCOLS & OTHER GLYCOLS
34,I,II,12/13/1946,NATIONAL INSTITUTES OF HEALTH CLINICAL CENTER,PALUDRINE                                                           
35,I,II,2/11/1947,PARKE DAVIS AND CO,ANTIMALARIAL SN 10751
36,I,II,4/17/1947,UNIV MINNESOTA,"AMIDONE, DOLPHINE (4,4-DIPHENYL-6-DIMETHYLAMINO-3-HEPTANONE HCL)     "
39,I,II,6/6/1947,DR. KARL JOHN KARNAKY,"STILBESTROL, INJ. & TABLETS"
41,I,II,10/1/1947,JOHNS HOPKINS HOSP,THE ADMINISTRATION OF DI-ISOPROPYL FLUOROPHOSPHATE (DFP) TO MAN       
43,I,II,1/16/1947,US PUBLIC HEALTH SERV,"VIRUS, THERAPEUTIC SERUM, TOXIN ANTITOXIN                           "
44,I,II,12/19/1947,ICI AMERICAS INC,"SORBITOL, MANITOL, HEXITOL EMULSIF. AGENT-TN: SPAN, TWEENS, ARLACEL   "
46,I,II,2/9/1948,BATTELLE MEMORIAL INSTITUTE,SELENIUM SULFIDE
48,I,II,3/26/1948,LEDERLE LABORATORIES DIV AMERICAN CYANAMID CO,LEDINAC PARENTERAL                                                    
49,I,II,9/10/1963,ROHM AND HAAS CO,AMBERLITES IRC-50 & XE 64
54,I,II,1/20/1950,WYETH INC,ARTISONE ACETATE                                                      
55,I,II,3/9/1950,SNYDER AND SNYDER,ANTIHISTAMINE INSOMNIA TREATMENT (MISCELLANEOUS)                      
59,I,II,1/1/1940,PENICK CORP,KHELLIN                                                               
60,I,II,1/1/1950,FIRMENICH INC,SOLPROTEX (DIGALLOYL TRIOLEATE)
61,I,II,9/16/1963,ROHM AND HAAS CO,RESINS - ION EXCHANGE AMBERLITE IRP 276 (CHOLESTYRAMINE RESIN USP)
63,I,II,3/5/1951,NATIONAL INSTITUTES OF HEALTH CLINICAL CENTER,LEVO-ISO-METHADONE                                                    
64,I,II,3/9/1951,LEDERLE LABORATORIES DIV AMERICAN CYANAMID CO,GENERAL METHODS OF ASSAY AND CONTROLS                                 
68,I,II,3/22/1951,UNITED STATES PHARMACOPEIA,ACTH                                                                  
70,I,II,6/11/1951,SB PENICK AND CO,CASANTHRANOL
72,I,II,7/19/1951,METAL AND THERMIT CORP,DIBUTYL TIN DILAURATE
73,I,II,7/31/1951,PACIFIC YEAST PRODUCTS INC,B 12 SSUPPLEMENT (B-MEGATHERIUM)                                      
74,I,II,7/30/1951,PERMUTIT CO,PERMUTIT Z-AMMONIUM; PERMUTIT Z P-POTASSIUM                           
75,I,II,7/31/1951,SB PENICK AND CO,VERABORE--SPECIAL AMORPHOUS ALKALOIDS OF VERATRUM VIRIDE              
76,A,IV,3/10/1950,NUTRITION AND BIOSCIENCES USA 1 LLC,METHOCEL HG - HYDROXYPROPYL METHYLCELLULOSE
77,I,II,7/18/1939,SCHERING CORP,CORTATE  (DESOXYCORTICOSTERONE ACETATE)                               
78,A,IV,9/8/1966,ASHLAND LLC,PLASDONE POLYVINYL PYRROLIDONE
79,I,II,7/16/1951,MAYO CLINIC,COMMITTEE ON SAFETY OF THERAPEUTIC AGENTS                             
80,I,II,10/18/1951,DIAMOND SHAMROCK CHEM CORP,DIPHENYLPYRALINE  (THIS DMF FORMERLY HELD BY NOPCO CHEM. CO)
81,I,II,8/11/1950,NATIONAL STARCH AND CHEMICAL CO,DRYFLO                                                                
82,I,II,1/31/1952,CHLORAMINT CO,O-SILVER ANTISEPTIC DISPOSABLE DIAPERS & ANTISEPTIC SURGICAL DRESSING 
84,I,II,1/1/1940,NATIONAL RESEARCH COUNCIL,PLASMA EXPANDERS                                                      
86,I,II,1/1/1940,DEPT DEFENSE,PRIMAQUINE                                                            
88,I,II,1/1/1940,PLAVOLEX,PLAVOLEX (PLASMA VOLUME EXPANDER)                                     
89,I,II,4/4/1979,ER SQUIBB AND SONS INC,NYDRAZID                                                              
90,I,II,3/4/1954,WORTHINGTON BIOCHEM CORP,HYALURONIDASE
92,I,II,5/9/1952,A MASCHMEIJER JR INC,ISONICOTINIC ACID HYDROZIDE                                           
93,I,II,6/23/1952,EI DUPONT DE NEMOURS AND CO INC,ALATHON (POLYTHENE RESIN)                                             
94,I,II,5/19/1952,NIPA LABORATORIES INC,OTTAFECT AND OTTASEPT
98,I,II,1/1/1940,PFIZER INC,LUDOX                                                                 
100,I,IV,6/2/1965,BASF CORP,PLURONICS (L62 F68) L44 PLURONIS POLYOLS
101,I,I,8/26/1952,PARKE DAVIS AND CO,GENERAL METHODS OF MANUFACTURE $ CONTROL
103,I,II,9/16/1952,SB PENICK AND CO,AQUEESTROL
105,I,II,1/1/1940,NATIONAL INSTITUTES OF HEALTH CLINICAL CENTER,DARAPRIM (PYRIMETHAMINE)
106,I,II,2/3/1953,ROUSSEL CORP,CORTISONE ACETATE
107,I,II,12/16/1952,DEXTRAN CORP,PLASMA EXPANDERS
108,I,II,3/18/1953,NORDA ESSENTIAL OIL AND CHEMICAL CO INC,DICHLOROSAN
110,I,II,5/29/1953,SB PENICK AND CO,NEOMYCIN SULFATE USP
112,I,II,5/21/1953,TERRA CHEMICALS INC,AEROSIL
114,I,II,7/3/1953,RT VANDERBILT CO INC,VANCIDE 89 (CAPTAN)
115,I,II,7/5/1953,SARATOGA TRADING CORP,RAUWOLFIA SERPENTINA
116,I,II,8/14/1953,SB PENICK AND CO,PROTAVERATRINE                                                        
117,I,II,9/11/1953,PASADENA RESEARCH LABORATORIES INC,HYDROCORTISONE ACETATE
118,I,II,5/9/1952,ER SQUIBB AND SONS INC,VITAMINE B-12                                                         
121,I,II,11/18/1953,NORDA ESSENTIAL OIL AND CHEMICAL CO INC,HALOSAN
122,I,II,11/20/1953,SB PENICK AND CO,PHTHALAMAQUIN
124,I,II,7/23/1953,PFIZER INC,NEOMYCIN SULFATE CAPS (THIS DMF CHANGED TO NDA 9-579)
126,I,IV,2/9/1954,DOW CORNING CORP,SILICONES
128,I,II,2/23/1954,GENERAL ANILINE AND FILM CORP,SODIUM N-LAUROYL SARCOSINATE
131,I,II,1/1/1940,CENTRAL SOYA CO INC,SOYBEAN STEROL PRODUCTS
133,I,II,2/10/1954,NATIONAL RESEARCH COUNCIL,DRUG ADDICTION $ NARCOTICS                                            
134,I,II,9/28/1953,LIDD DAVID MD,POLYVINYL PYRROLIDONE                                                 
135,I,II,5/20/1954,AMGER CHEMICALS INC,DEHYDROACETIC ACID
136,I,II,4/27/1954,SB PENICK AND CO,RESERPINE                                                             
137,I,V,5/26/1954,DOW CHEMICAL CO,SHORT TERM CHRONIC DIETARY FEEDING OF METHOCEL 2602 TO RATS
140,I,II,10/21/1947,SE MASSENGILL CO,FACILITIES $ CONTROL
141,I,II,10/6/1941,ORGANICHEM CORP,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES."
144,I,II,1/17/1977,US ATOMIC ENERGY COMMISSION,"RADIO ISOTOPES, IODINE 131 AND PHOSPHORUS 32"
146,I,II,9/3/1954,3M PHARMACEUTICALS,VARIOUS RAUWOLFIA SPECIES
147,I,II,9/2/1954,CHAS PFIZER AND CO INC,RESERPINE
148,I,II,1/1/1940,IOWA STATE COLLEGE,DIETHYLSTILBESTROL AS A CATTLE FEED ADDITIVE
149,I,II,9/15/1954,THOS LEEMING AND CO SUB CHAS PFIZER AND CO INC,"FACILITIES ,CONTROL"
150,I,II,1/1/1940,OHIO AGRICULTURE EXPERIMENT STATION,MASSIVE VIT D FOR MILK FEVER PREVENTION
152,I,II,10/1/1954,NATIONAL RESEARCH COUNCIL,NRC.MEETING $ OTHER MEETINGS                                          
153,I,IV,9/29/1954,LUBRIZOL ADVANCED MATERIALS INC,"CARBOPOL 934P NF, 934 NF, 942NF, AND 940NF POLYMER"
154,I,II,4/25/1955,SB PENICK AND CO,RAUSERFIA TABLETS                                                     
157,I,II,11/5/1954,GENERAL ELECTRIC CO,SILICONES                                                             
158,I,I,11/9/1954,MEER CORP,RESERPINE CONCENTRATE                                                 
159,I,II,11/9/1954,CORN PRODUCTS INC,GLUCURONO-LACTONE $ THE SALTS OF GLUCURONIC ACID
161,I,II,1/11/1955,ROUSSEL CORP,"HYDROCORTISONE,FREE ALCOHOL                                           "
162,I,II,1/27/1955,WORTHINGTON BIOCHEM CORP,CRYSTALLINE TRYPSIN
167,I,II,3/10/1958,LEDERLE LABORATORIES DIV AMERICAN CYANAMID CO,SPECIFICATIONS AND METHODS OF ASSAY
168,I,II,1/1/1940,PENICK CORP,UTERASE
169,I,II,7/13/1955,MERCK SHARP AND DOHME RESEARCH LABORATORIES DIV MERCK AND CO INC,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES."
170,I,IV,6/15/1955,EASTMAN CHEMICAL CO,D-ALPHA-TOCOPHERYL POLYETHYLENE GLYCOL 1000 SUCCINATE
171,I,II,8/16/1955,NEW DRUG INSTITUTE,"RAUWOLFIA SERPERTINA WHOLE ROOT,MANNITOL HEXANITRATE ,"
175,I,II,8/24/1955,MERCK AND CO INC,PROCESS $ CONTROL DATE CONCERNING MANUFACTURE OF 2-ACETYLAMINA ETC.
